title,level_easy,level_normal,level_hard,level_expert,level_master
青色絵具,6,12,16,24,27
千年の独奏歌,5,11,16,23,27
千本桜,7,14,20,26,32
脱法ロック,7,13,18,26,31
地球最後の告白を,8,13,18,25,31
天使のクローバー,9,13,17,27,31
徳川カップヌードル禁止令,8,13,19,27,31
独りんぼエンヴィー,6,11,16,22,26
拝啓ドッペルゲンガー,9,13,19,28,32
泡沫未来,8,12,17,25,29
僕らまだアンダーグラウンド,7,12,18,25,28
命に嫌われている。,9,14,18,26,29
妄想感傷代償連盟,7,12,16,23,27
夜に駆ける,6,11,18,25,29
夜咄ディセイブ,8,14,19,26,30
幽霊東京,7,13,17,24,27
踊,6,13,18,26,29
裏表ラバーズ,8,12,18,26,30
流星のパルス,8,13,17,25,30
劣等上等,7,12,18,25,30
恋愛裁判,6,12,17,22,27
炉心融解,7,12,17,24,27
六兆年と一夜物語,9,14,20,29,34
霽れを待つ,7,12,17,26,30
